"page","line","text"
43,?,"Q_ Okay. And what was your assessment having learned that there"
43,?,"were -- that there was this slate of Trump-Pence electors who had met in Phoenix and,"
43,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767598"
44,1,"you know, purported to cast votes to elect Trump and Pence in the electoral college, what"
44,2,"was your assessment of whether that was legal or appropriate?"
44,3,"A I thought it was totally foolish and -- but it falls right in line with some of the"
44,4,"activities that I've heard about in this State and other States. But that was"
44,5,"presumptuous and foolish, and I thought -- I didn't -- I did not support such a thing, that's"
44,6,"for sure."
44,7,"Q Understood. And is it fair to say that you did not think that they had any"
44,8,"legal effect?"
44,9,"A __ So far from it that it would be a charade. It wasacharadetome. Andit"
44,10,"was -- it just reinforced that the train gets rolling and it's like people don't realize they're"
44,11,"ona train and that they ought to be pulling the brakes or getting off this train, but it just"
44,12,"keeps right on rolling. So what's the next thing that we could do on our crazy train?"
44,13,"And I get it -- I get alittle flippant. I'msorry. I know this is -- I just think that"
44,14,"these things are -- it's almost juvenile our responses, that -- we elected an elector, yet I'm"
44,15,"going to just say: Hey, I think I'll be an elector, and I'll just head on down there and sign"
44,16,"up."
44,17,"None of them were even elected. Who would elect them? We didn't have an"
44,18,"election. It was just -- so how one might volunteer to take the place of duly elected"
44,19,"electors, I'm -- I wish it hadn't been that way. I wish that the original electors for Trump,"
44,20,"that's not the point. They were Mr. Biden's -- okay. It was -- it was foolish. It was"
44,21,"very foolish."
44,22,"Q Understood. Thankyou forthat. We appreciate your perspective."
44,23,"a"
44,24,"Q___I want to move to a separate -- or another phone conversation that you had,"
44,25,"HE, 21 that's a couple days later on January 6th. Did you get a call from"
44,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767599"
45,1,"Q_ There was --"
45,2,"A We talked about it in fraud, and! said: No,no,no,no,no,no,no. There"
45,3,"is only one place that I think that the manner of electing electors was compromised, and"
45,4,"that was by the Federal judge who pushed the registration period into the voting periods,"
45,5,"and that's contrary to Arizona law, and that's contrary to the manner."
45,6,"But it was for 5 days, and before they could get it all stopped, I think it was almost"
45,7,"10 days. Within that period of time, I asked: Is there any way we can know"
45,8,"who -- who all was involved and how many, et cetera, et cetera."
45,9,"My initial recollection was that there were not enough registrations that one"
45,10,"might consider would vote for Trump or Mr. Biden enough to cover the gap."
45,11,"Q = Understood. I think you mentioned this earlier, and I just want to ask you if"
45,12,"you could provide a little bit more detail on it. And 1 don't mean to sort of dwell ona"
45,13,"situation that I'm sure was troubling for you, but you mentioned the fact of protesters"
45,14,"calling between election day and January 6th being quite active and harassing of you."
45,15,"Can you tell us a little bit about what that involved?"
45,16,"A Well, aside from the Capitol, because at the Capitol there was a constant"
45,17,"presence, including a guy that walks -- strolled into the Senate and stood up on the dais,"
45,18,"the QAnon Shaman dude. He was -- I was one of his favorite targets for his rhetoric at"
45,19,"the Capitol."
45,20,"But, when we came to my home, when people started showing up at my home"
45,21,"with bullhorns and with loud speakers and with panel trucks with videos on the side and"
45,22,"with a large military looking civilian vehicle and lines of cars honking and screaming and"
45,23,"then crowding at the end of my driveway, and I'll just say irritating, but it was a real pain"
45,24,"to all my neighbors. They'd come down and say, i lam -- I am so far different"
45,25,"from you than the man on the moon politically, I'm as liberal as you could ever be, but I"
45,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767601"
46,1,"know you're not a pedophile,"" which was one of the things that they'd put up on their"
46,2,"video trucks as they went by."
46,3,"And this was -- I couldn't ever -- I never went out to interview them and say:"
46,4,"Now, exactly who sent you today?"
46,5,"But part of it was from a group called the Patriot Party of Arizona. They'd call"
46,6,"themselves that and have tried to become a separate party. ANN, he was"
46,7,"very active in agitating on social media and in person, et cetera. There were the"
46,8,"people -- different groups. I know that he specifically did that, but I -- again, I don't"
46,9,"know all of who came or why. I just know they came."
46,10,"And, ultimately, that went over a period of months with some regularity, you"
46,11,"know. I think there was nine times totally that they came, with the ninth time being"
46,12,"rather recent. But it was -- I have a whole different view. I have been in some"
46,13,"situations in my life, pretty tough. And they just seemed like unhinged, you know, the"
46,14,"screaming and the yelling and the loudspeakers broadcasting my perversions to the"
46,15,"neighborhood and that I was, you know, horrible, on the take, corrupt, all this."
46,16,"When they stopped, when actual people got out and started to come on my"
46,17,"property, I would say, ""Don't come on my property,"" you know, loudly. They kept"
46,18,"coming: Don't come on my property. Go back."
46,19,"And they never rushed the place. They did -- somebody did come in and cut my"
46,20,"Christmas lights, you know. Okay. That's pretty juvenile. And it wasn't like antifa."
46,21,"They were -- you know, might get a little more directed. But the police would always"
46,22,"come. Theyhad spotters. So, when they spotted the police, they would call, and"
46,23,"everybody would kind of flee like quail."
46,24,"And then -- but one -- at the end, there was a gentleman, a Three Percenter. He"
46,25,"had it on his T-shirt. It was on his car, and he had a pistol. And when! -- I was already"
46,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767602"
47,?,"so close but not close enough, and so! got closer. I got closer, because if he pulled that"
47,?,"out, I had to be close enough to get onhim. I mean, why would I even have to think"
47,?,"that standing on my own property, but that's what I thought. And just vain, vile,"
47,?,"screaming at me and my neighbors."
47,?,"And so then one of them, a lady hit my neighbor with her car, and he flipped up"
47,?,"on the hood, and she just kept right on going. And, later on, she sent the police because"
47,?,"he damaged her car. We'd say: Well, that's cool. We --she came to you. That's"
47,?,"the lady that hit my neighbor, you know."
47,?,"It just was so -- it was -- and the cops would say: Did you ever feel threatened?"
47,?,"Isaid: Well, yeah."
47,?,"My wife said: Yeah, I did."
47,?,"And, at the same time, we had a daughter who was very, very ill and inside and"
47,?,"wondering what was all the noise and causing her disruption and angst. And the whole"
47,?,"thing was just -- it was very unsettling."
47,?,"I never felt like I was in imminent danger, per se, but in those situations all it takes"
47,?,"is one of them to think: I'm going to prove that I'm a great patriot and so I'm going to"
47,?,"pull out a gun and shoot this guy."
47,?,"I mean, those thoughts came to my mind because they have happened. And so"
47,?,"that's, you know -- it was unsettling."
47,?,"Q_ And has this continued, I mean, past January 2021?"
47,?,"A Oh, yeah. Oh, yeah."
47,?,"Q_ To this day?"
47,?,"A Well, none recently. The last one was a couple of months ago-ish. You"
47,?,"know, I don't -- I have a journal somewhere, but I don't have it with me. And it"
47,?,"broke -- it ebbed off for a while, but it just became less frequent. There is only nine in"
47,?,"SUBJECT TO PROTECTIVE ORDER SCO-00767603"
126,4,"SELECT COMMITTEE TO INVESTIGATE THE"
126,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
126,6,"U.S. HOUSE OF REPRESENTATIVES,"
126,7,"WASHINGTON, D.C."
126,11,"s INTERVIEWOF:"
126,15,"TUESDAY, MAY 17, 2022"
126,18,"Washington, D.C."
126,21,"The interview in the above matter was held via Webex, commencing at 10:23 a.m."
126,?,"SUBJECT TO PROTECTIVE ORDER SCO-00771567"
127,?,"Appearances:"
127,?,"For the SELECT COMMITTEE TO INVESTIGATE"
127,?,"THE JANUARY 6TH ATTACK ON THE U.S. CAPITOL:"
127,?,"ME SENIOR INVESTIGATIVE COUNSEL"
127,?,"SS I I) ESTIGATIVECOUNSEL"
127,?,"SI FV ANCIAL INVESTIGATOR"
127,?,"ES, PROFESSIONAL STAFF MEMBER"
127,?,"ME, I VESTIGATIVE COUNSEL"
127,?,"MS, CHIEF CLERK"
127,?,"SE, IVESTIGATIVE COUNSEL"
127,?,"SE, FINANCIAL INVESTIGATOR"
127,?,"MS, CHEF INVESTIGATIVE COUNSEL"
127,?,"ME, STAFF ASSOCIATE"
127,?,"MS, STAFF ASSOCIATE"
127,?,"£50."
127,?,"SUBJECT TO PROTECTIVE ORDER"
127,?,"SCO-00771568"
128,1,"Q_ Okay. Were you -- did you participate in any conversations with the"
128,2,"President about whether he should declare victory, whether he should that say he won"
128,3,"the election versus some other outcome?"
128,4,"A What do you mean by participate? Like I say that because in that big"
128,5,"meeting, those conversations were happening when they were discussing his remarks."
128,6,"We all know what his remarks were."
128,7,"Q_ Right."
128,8,"A __ And there were definitely conversations about that in that big meeting. I"
128,9,"don't think I ever weighed in other than giving an update on where we stood with respect"
128,10,"to the count."
128,11,"I don't think I ever said you should say this or you should say that or you shouldn't"
128,12,"say this or shouldn't say that. I don't think I ever weighed with respect to those"
128,13,"remarks, but went I present there when those conversations were being had, the answer"
128,14,"is yes."
128,15,"Q Just going back to, you know, I hear you saying you don't think you weighed"
128,16,"in about whether or not he should say that he had won the election, but in the course of"
128,17,"your providing an update on the status of counting and the status of the election, did you"
128,18,"tell the President that he had won?"
128,19,"A No. I wouldn't have said that."
128,20,"Q 9 Okay. What would you have said?"
128,21,"A I would have said we -- I would have told him the truth, which I always did,"
128,22,"which was at the time like, Hey, this still looks really good, like I don't know where this is"
128,23,"going to come out tomorrow, and I gave him the update that I just gave you: Georgia,"
128,24,"we hada lead. Pennsylvania, there was still way to many ballots outstanding. I"
128,25,"thought they called Arizona wrong. There were issues with the absentee ballots in"
128,?,"SUBJECT TO PROTECTIVE ORDER SCO-00771611"
129,?,"Wisconsin that we needed to deal and would deal with."
129,?,"So it was still open. It was an open question."
129,?,"Q_ Okay. Open question as to the outcome?"
129,?,"A What I would have said is, you know, I don't think this thing is over by a long"
129,?,"shot. I would have said that to him, something along those lines. I don't remember"
129,?,"the specific words that I used, but that's what I would have said."
129,?,"Q_ Okay. So for the rest of the conversation, even if you weren't asked or"
129,?,"didn't actually weigh in about what he should say, but in the rest of that group"
129,?,"conversation, did anyone advocate for a different position than what would be the"
129,?,"natural implication of what you just said, which is that -- like you just told us, that it's not"
129,?,"over by a long shot yet?"
129,?,"Were there other voices advocating that it was over?"
129,?,"A I don't remember that. Everyone would have looked to me or to BB."
129,?,"Frankly, they would have looked to if he didn't go ahead and get COVID that night,"
129,?,"but they would have looked to us to say what the status of the race was, and I don't think"
129,?,"there was any daylight between what Hi and I thought about where the race was at that"
129,?,"moment."
129,?,"Q_ Gotit. So is it fair to say that you don't remember anyone giving an"
129,?,"assessment or advice to the President that was different than what you and your"
129,?,"colleagues viewed, which was that it was still possible to win, but it was still tight and the"
129,?,"election was not over yet?"
129,?,"A I don't think anyone --no. No one would have said that. They would"
129,?,"have gotten an earful from me and I - because nobody in that room was from the"
129,?,"political department or the field department to count votes. Noonehadaccess. They"
129,?,"could talk to them, but no one was talking on a regular basis our data analytics team."
129,?,"SUBJECT TO PROTECTIVE ORDER SCO-00771612"
130,1,"So we were the ones everyone would have looked to, and if someone had said,"
130,2,"Well, no, or they disagreed, it would have turned into some kind of argument, because"
130,3,"we would have said, No, you're all wet, like what are you talking about."
130,4,"I don't remember that happening. So! don't think anyone gave a different"
130,5,"assessment of the election at that point."
130,6,"Q- Okay. Thanks. So did you observe any other, even if you didn't"
130,7,"participate, but did you observe any other conversation that night before the President's"
130,8,"remarks about what he should say about the outcome of the election?"
130,9,"A So I'm sure I did observe it, okay, in terms of what was spoken, what was"
130,10,"said. I also don't remember what that was and the likelihood is because my job at that"
130,11,"moment was to give an assessment of the politics of it. I never weighed in on speeches."
130,12,"I rarely weighed in on speeches, because that wasn't my bailiwick."
130,13,"So was! there? Was! present when they were talking about the wordsmithing"
130,14,"of a document and what he should say? Yes. Dol remember what was said? No,"
130,15,"and I probably don't remember because, ""A"", it was a long time ago and, ""B"", I was"
130,16,"probably on my phone, looking at numbers, doing something else."
130,17,"I just didn't -- that wasn't my area."
130,18,"Q Understood. Dol remember who, if anyone, advocated for the President"
130,19,"to say he had won the election?"
130,20,"A I don't remember specifically."
130,21,"Q Okay. Did you later come to learn who had, if anyone?"
130,22,"A No. 1! don't remember, period, who, if anybody, advocated that the"
130,23,"President say those things."
130,24,"Q_ Okay. did want to follow up on one other thing. You said that you got"
130,25,"on the phone with the team in Pennsylvania. Who, in particular, did you speak to in"
130,?,"SUBJECT TO PROTECTIVE ORDER SCO-00771613"
160,4,"SELECT COMMITTEE TO INVESTIGATE THE"
160,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
160,6,"U.S. HOUSE OF REPRESENTATIVES,"
160,7,"WASHINGTON, D.C."
160,11,"INTERVIEW OF: i"
160,15,"Monday, November 28, 2022"
160,17,"Washington, D.C."
160,20,"The interview in the above matter was held in room 5480, O'Neill House Office"
160,21,"Building, commencing at 10:17 a.m."
160,22,"Present: Representatives Schiff, Lofgren, and Raskin."
160,?,"SUBJECT TO PROTECTIVE ORDER SCO-00772542"
161,?,"patient, but you're up, so --"
161,?,"Q__ That conversation you just recounted in the wee hours of November 4th,"
161,?,"was that before the President publicly went out and gave his election night, I guess, next"
161,?,"morning speech --"
161,?,"A __ It was after that."
161,?,"Q __ It was after that?"
161,?,"A Yes."
161,?,"Q_ Okay. And how did he respond to your comments about that, that we"
161,?,"need to be patient?"
161,?,"A Frankly, he was skeptical. He sort of felt something I didn't. I thought he"
161,?,"would win Pennsylvania based on the 700,000-plus margin he had at that moment. And"
161,?,"he just -- he felt he wouldn't. He was --"
161,?,"Q_ He was skeptical, meaning he might lose Pennsylvania?"
161,?,"A Yes, and other States."
161,?,"Q_ Okay. What other States was he afraid he might lose at that point on --"
161,?,"A Well, I mean, we were told that Arizona was called and Governor was"
161,?,"calling and saying he didn't think so, [J popped up and said, That's BS."
161,?,"There's no way they should've called that yet. I think was off talking to [J"
161,?,"HE © someone. _I was asking the Fox hosts what was going on, you know, what"
161,?,"do you see, because nobody else called it. Fox and the AP called Arizona for Donald"
161,?,"Trump and the others hadn't, days later had not."
161,?,"Lots of networks that did not want him to run again -- CNN, ABC, NBC, CBS, New"
161,?,"York Times, none of them had called -- they hadn't called the race -- they hadn't called"
161,?,"Arizona for either Biden or Trump."
161,?,"So -- and we knew as we -- turns out we know in 2022, Arizona just -- they've got"
161,?,"SUBJECT TO PROTECTIVE ORDER SCO-00772610"
166,4,"SELECT COMMITTEE TO INVESTIGATE THE"
166,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
166,?,"- 6 U.S. HOUSE OF REPRESENTATIVES,"
166,7,"WASHINGTON, D.C."
166,?,"il INTERVIEW OF: A WHITE HOUSE EMPLOYEE"
166,15,"Friday, June 10,. 2022"
166,17,"Washington, D.C."
166,20,"The interview in the above matter was held via Zoom,"
166,21,"commencing at 2:04 p.m. :"
166,?,"SUBJECT TO PROTECTIVE ORDER SCO-00783547"
167,1,"Appearances:"
167,4,"For the SELECT COMMITTEE TO INVESTIGATE"
167,5,"THE JANUARY 6TH ATTACK ON THE U.S. CAPITOL:"
167,7,"GE. cet0R nvesticaTive COUNSEL"
167,?,"SUBJECT TO PROTECTIVE ORDER SCO-00783548"
168,?,"re"
168,2,"s"
168,?,"seems Like you have a memory of this."
168,?,"A It's just -- I mean, it's -- I mean, sometimes I"
168,?,"just don't know how to deal with my emotions. But I just"
168,?,"remember him coming back in, and this is me telling him about"
168,?,"his speech was cut off. Because he asked me did I get it all"
168,?,"on TV, and this is me explaining to him that it was cut off"
168,?,"there close at the end and what was happening. And that's"
168,?,"pretty much the face I got the whole time, and it was kind of"
168,?,"Like he told me, Really? And I was, like, Yes, sir"
168,?,"Q And you were telling him the speech was cut off at"
168,?,"the end. Do you know why it was cut off?"
168,?,"A Because it jumped to what was. happening down at the"
168,?,"Capitol."
168,?,"Q So when the President came back in this moment --"
168,?,"this is time stamped 1:21 -- you were telling him that his"
168,?,"speech was cut off and the recording because the coverage"
168,?,"jumped to what was happening at the Capitol. Is that right?"
168,?,"A Yes, sir,"
168,?,"Q What was his reaction to that when he found out?"
168,?,"Did he ask any questions, like what's going on at the"
168,?,"Capitot?"
168,?,"A He -- so, yeah. It was -- I mean, it was -- I"
168,?,"don't know like the direct quotes. I can just pretty much,"
168,?,"like, it was, Sir, they cut. it off because they're rioting"
168,?,"down at the Capitol. And he was, Like, What do you mean? If"
168,?,"SUBJECT TO PROTECTIVE ORDER"
168,?,"SCO-00783583"
169,1,"said, It's, like, they're rioting down there at the Capitol."
169,2,"And he was, like, Oh, really? And then he was like, ALl ,"
169,3,"right, let's go see."
169,4,"And then we walked back to the back. I'm taking off his"
169,5,"outer coat that he's wearing right now, and I get the TV,"
169,6,"like, ready for him, and hand him over the remote, and he"
169,?,"Z starts watching it. And I stepped out to get him a Diet"
169,8,"Coke, come back in, and that's pretty much it for me as he's"
169,9,"“watching it and, like, seeing it for himself."
169,10,". Q Okay. When you said you walked to the back, did"
169,?,"‘1 you know mean walked to the Oval Dining Room?"
169,12,". A Correct. ‘"
169,13,"Q Is that where the President set up for the"
169,14,"afternoon? And set up may not be the best term, but is that"
169,15,"where he's kind of stationed himself?"
169,16,"A- Typically that's -- a lot of times he's in that"
169,17,"back dining room a lot."
169,18,"Q So you set up the TV. Did you set it up for him to"
169,19,"watch his speech or watch live coverage of what was happening"
169,20,"at the Capitol? :"
169,?,"pal A I have it usually set to the beginning of his"
169,22,"speech."
169,23,"Q And do you know whether, in fact, that's what he"
169,24,"started watching, or was he watching the events at the"
169,25,"Capitol?"
169,?,"SUBJECT TO PROTECTIVE ORDER SCO-00783584"
170,4,"SELECT COMMITTEE TO INVESTIGATE THE"
170,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
170,6,"U.S. HOUSE OF REPRESENTATIVES,"
170,7,"WASHINGTON, D.C."
170,11,"INTERVIEW OF: [ji"
170,15,"Tuesday, May 31, 2022"
170,17,"Washington, D.C."
170,20,"The interview in the above matter was held in Room 4480, O'Neill House Office"
170,21,"Building, commencing at 4:59 p.m."
170,22,"Present: Representative Schiff."
170,?,"SUBJECT TO PROTECTIVE ORDER SCO-00783640"
171,1,"I had to move out of my house because the FBI said it wasn't safe. Strangers"
171,2,"came by my home the week of January 6th. One person told me I had 48 hours to give"
171,3,"them some sort of statement to avoid going to jail -- to admit to something I never did."
171,4,"They tried to force their way into my mom's house to do a citizens’ arrest on"
171,5,"HM and me. Friends and members of my community were afraid to even be"
171,6,"associated with me because they didn't want to get caught up in the harassment."
171,7,"There is nowhere I feel safe -- nowhere."
171,8,"Do you know how it feels to have the President of the United States to target you?"
171,9,"The President of the United States is supposed to represent every American, not to target"
171,10,"one. But he targeted me, (, a small-business owner, a mother, a proud"
171,11,"American citizen who stood up to help Fulton County run an election in the middle of the"
171,12,"pandemic. He said my name 18 times -- 18 times -- to the Georgia secretary of state,"
171,13,"accusing me of election fraud."
171,14,"The President of the United States made up lies about two ordinary Americans for"
171,15,"his own personal gain. Then he and he allies like { and those in the media"
171,16,"who repeat whatever they say spoon fed us as enemies and villains to their mob. They"
171,17,"said we were like drug dealers passing out ballots. Targeted American election workers"
171,18,"as a prop in the ""big lie."""
171,19,"And, lo and behold, when someone as powerful as the President of the United"
171,20,"States eggs on a mob, that mob will come. They came for us with their cruelty, their"
171,21,"threats, their racism, and their hats. They haven't stopped even today."
171,22,"Number 45 and his crew have destroyed our lives. So! won't call Number 45 by"
171,23,"hisname. He and his allies took my name, so I won't utter his."
171,24,"This isn't political for me. This is about truth and decency. I'm here today for"
171,25,"more than myself and my daughter. I hope that by me telling my story that you all can"
171,?,"SUBJECT TO PROTECTIVE ORDER SCO-00783647"
180,4,"SELECT COMMITTEE TO INVESTIGATE THE"
180,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
180,6,"U.S. HOUSE OF REPRESENTATIVES,"
180,7,"WASHINGTON, D.C."
180,11,"INTERVIEW OF: iy"
180,15,"Wednesday, May 18, 2022"
180,17,"Washington, D.C."
180,20,"The interview in the above matter was held via Webex, commencing at 2:02 p.m."
180,21,"Present: Representatives Aguilar and Cheney."
180,?,"SUBJECT TO PROTECTIVE ORDER SCO-00786657"
181,1,"A I don't know. Ireallydon't know. Again, I wish people could understand"
181,?,"BS"
181,?,"what that scene looked like. It was -- the residence isn't huge, and so there were"
181,3,"probably 15 to 20 people surrounding this man who has papers. _I don't know what was"
181,4,"onthe papers. He's throwing them around. He's yelling. Everyone's talking over"
181,5,"each other. You just couldn't -- you couldn't tell."
181,6,"Q_ Yeah. Do you recall anyone suggesting that he should declare victory or say"
181,7,"that the election was stolen?"
181,8,"A Not at that point, until we went downstairs, but not up in the residence."
181,9,"Q_ Okay. So when you went downstairs from the residence, did you have a"
181,10,"clear sense as to what he might say, or was that still up in the air?"
181,11,"A No. No,!hadnoidea. She hadnoidea. We got -- it was time to go."
181,12,"They went into the elevator. The White House elevator, from the residence to"
181,13,"downstairs, isn't big. So it was --I don't even know. I know it was the President, the"
181,14,"First Lady, maybe a couple of the kids, and an agent. And then the rest of us, which,"
181,15,"again, was probably 15 people, all ran down the stairs to get to the Green Room."
181,16,"By the time I made it into the Green Room he was once again surrounded, but"
181,17,"now you've got i! ZN was in there, EY was in there."
181,18,"There were more people in there adding their 10 cents."
181,19,"Q__ People that had not been upstairs but were now in the Green Room?"
181,20,"A __ That is correct."
181,21,"Q How about , was he either place?"
181,22,"A He was in the -- that I saw -- he was definitely in the Green Room. I don't"
181,23,"remember seeing him in the residence, but he could've been."
181,24,"Q_ Do you remember him giving the President any advice about what he should"
181,25,"say?"
181,?,"SUBJECT TO PROTECTIVE ORDER SCO-00786679"
182,1,"A No. And, in fact, it's interesting because the one person who was the"
182,2,"loudest was SM, and he kept saying very loudly, you go out there and tell"
182,3,"them it was stolen, go out there and say it was stolen."
182,4,"Q___ Did others agree with NM, in your observation, when he said that to"
182,5,"the President?"
182,6,"A No. At that time, SS and even and I believe Ij"
182,7,"and i, also fend i were all, like, whoa, whoa, whoa, just let's go out and say,"
182,8,"there's still time, we need to do this count, we'll see you in the morning."
182,9,"You know, nobody ever said, go concede, but there were definitely differing"
182,10,"Opinions on if you say it was stolen or if you say we'll see you in the morning."
182,11,"Q__ Soit sounds like EE was saying, say it was stolen --"
182,12,"A Yes."
182,13,"Q__ --and everybody else was on the other side, saying, hey, no, it's too early,"
182,14,"we have votes to count, we'll see you in the morning, something like that."
182,15,"A Yeah, yeah. Something around -- yes."
182,16,"Q__ The consensus was different from what J was advising?"
182,17,"A Yes."
182,18,"Q__ Did the President make a decision right there in the Green Room, or did you"
182,19,"still not know until he took the stage what he was going to say?"
182,20,"A No one knew until he took the stage."
182,21,"Q_ How did he react to the various different advice he was getting in the --"
182,22,"A I mean, he just listened. He just -- I mean, that was his way, when anybody"
182,23,"did this, because he did enjoy this kind of thing. With a lot of people around, he would"
182,24,"just look at people and listen and nod."
182,25,"Q_ Allright. And do you remember -- I'm going back to EE -- whether"
182,?,"SUBJECT TO PROTECTIVE ORDER SCO-00786680"
190,4,"SELECT COMMITTEE TO INVESTIGATE THE"
190,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
190,6,"U.S. HOUSE OF REPRESENTATIVES,"
190,7,"WASHINGTON, D.C."
190,11,"—-«dDEPOSITIONOF: a’"
190,15,"Tuesday, April 12, 2022"
190,17,"Washington, D.C."
190,20,"The deposition in the above matter was held via Webex, commencing at 10:02"
190,21,"am."
190,?,"SUBJECT TO PROTECTIVE ORDER SCO-00787680"
191,1,"A __ The two processes were slightly different. The White House Counsel"
191,2,"advised that, on political speeches, to minimize, you know, writing them on your work"
191,3,"computer. And so, you know, we would -- on political speeches, initial drafts would be"
191,4,"done on personal laptops, and then, as we got to the speech day, those would then go"
191,5,"onto the official system. And so that would be an example of a different process."
191,6,"Q___ But other than that, mostly the same?"
191,7,"A Well, the -- and on political speeches, it was pretty clear, as a rule of thumb,"
191,8,"that, you know, you would -- that the political people would only be working on them."
191,9,"The fact-checkers could check the facts, but political people -- only political people"
191,10,"worked on the political speeches."
191,11,"Q_ And that would mean yourself or in your political role versus your"
191,12,"official White House role?"
191,13,"A Yeah, people who had a commission."
191,14,"Q_ Understood. Thank you."
191,15,"So would you consider -- just fast-forwarding a second, the speech that President"
191,16,"Trump delivered on the Ellipse on January 6th, would you consider that to be a political"
191,17,"speech?"
191,18,"A You know, at the time, I don't have a recollection of whether that was -- I"
191,19,"don't recall anybody specifically saying to us, this is this versus this."
191,20,"The -- you know, I know afterward that the White House -- I forget the name of"
191,21,"the White House component, but the one that does the transcriptions sent out a text of"
191,22,"that speech, and it was styled ""internal transcript."" And my recollection is internal"
191,23,"transcripts were political speeches."
191,24,"Q_ And you said no one told you that it was one or the other, to paraphrase"
191,25,"you. Was that uncommon, for no one to give a direction about whether a speech would"
191,?,"SUBJECT TO PROTECTIVE ORDER SCO-00787700"
192,1,"be political or official?"
192,2,"A Well, the political speeches, the rally speeches, were very -- you know, we"
192,3,"knew that, speeches of speech. And this one, it just -- we just didn't know. We didn't"
192,4,"know which one it was. I don't recall a clear direction one way or the other. I do recall"
192,5,"that there was a question about it, but -- yeah."
192,6,"Q Do you recall who raised the question?"
192,7,"A (thin and t did. I think J raised the question and was going to try"
192,8,"to find out. And I think -- you know, I believe we played it safe, if you will, by doing the"
192,9,"initial draft on personal computers."
192,10,"Q_ And you mentioned that rallies, as a general matter, for you were kind of"
192,11,"obviously political. Why wasn't the Ellipse rally one of those same obviously political"
192,12,"speeches?"
192,13,"A It just wasn't clear. I don't recall, but, you know, it just -- because it wasn't"
192,14,"organized by -- at least I don't recall it being organized by the President's campaign. I"
192,15,"think it was an outside group that had put it together and was asking the President to"
192,16,"speak there."
192,17,"Q_ Sowere there ever times that the President spoke in his official capacity at"
192,18,"events organized by outside political organizations?"
192,19,"A Outside organizations? Yeah, the President has -- if I understand the"
192,20,"question correctly -- can you restate the question?"
192,21,"Q_ Yeah. I'll restate the question. Were there times when, in his official"
192,22,"capacity, you drafted a speech for the President where he was speaking at an event"
192,23,"organized by an outside political organization?"
192,24,"A I mean -- and ""political,"" do you mean also, like, advocacy organization? I"
192,25,"mean, I don't know the nature of the --"
192,?,"SUBJECT TO PROTECTIVE ORDER SCO-00787701"
261,4,"SELECT COMMITTEE TO INVESTIGATE THE"
261,5,"JANUARY 6TH ATTACK ON THE U.S. CAPITOL,"
261,6,"U.S. HOUSE OF REPRESENTATIVES,"
261,7,"WASHINGTON, D.C."
261,11,"DEPOSITION OF: iy"
261,15,"Wednesday, March 30, 2022"
261,17,"Washington, D.C."
261,20,"The deposition in the above matter was held in room 4480 O'Neill House Office"
261,21,"Building, commencing at 10:06 a.m."
261,22,"Present: Representatives Aguilar and Cheney."
261,?,"SUBJECT TO PROTECTIVE ORDER SCO-00792160"
262,1,"Nothing from the 6th or days immediately preceding or afterwards. I didn't have"
262,2,"anything from Members. _ I gave all of that to you guys, so --"
262,3,"Q__ Okay."
262,4,"A I can go back and check, but I don't believe that I have any of those."
262,5,"HS. Okay. Great."
262,6,"Thank you."
262,7,"The Witness. Yeah."
262,8,"oY a:"
262,9,"Q_ Okay. So picking up in the timeline, there's some text messages behind tab"
262,10,"64 that I would like to draw your attention to."
262,11,"So this is an exchange with an individual named [j._ Who is"
262,12,"A That's I, chief of staff to [i ."
262,13,"Q_ Okay. And these are text messages from just before the beginning of the"
262,14,"joint session?"
262,15,"A Yes."
262,16,"Q__ It starts around 12:37?"
262,17,"A Yes."
262,18,"Q So J writes to you I needs to hand something to"
262,19,"VPOTUS. Please advise."
262,20,"And then after you ask, What is it, he says, Alternate slate of electors for Michigan"
262,21,"and Wisconsin because archivist didn't receive them."
262,22,"I know we talked about this a little bit earlier. Ms. Cheney asked you some"
262,23,"questions about it. Is it your understanding that this relates to the same topic that had"
262,24,"come up, I believe it was from EE the day before?"
262,25,"A Yes."
262,?,"SUBJECT TO PROTECTIVE ORDER SCO-00792365"
263,?,"Q_ Okay. And, obviously, you have, in the text messages, dissuaded him, for"
263,?,"the reasons that you explained to Ms. Cheney earlier, from actually handing any mail to"
263,?,"the Vice President."
263,?,"Put us back in the time period right before you're going onto the House floor for a"
263,?,"joint session of Congress."
263,?,"A Uh-huh."
263,?,"Q Why woulq have been trying to give such documents to the"
263,?,"Vice President at that moment?"
263,?,"A I don't know the origin of wherd{ received those documents."
263,?,"Again, in the broader conversation of alternate slates of electors being presented from a"
263,?,"number of the States having already been received, you know, by our office and mailed to"
